chrom	start	end	value
1	978762	978762	0.9655
1	982844	982844	1
1	1120377	1120377	1
1	1163964	1163964	0.0227
1	1179800	1179800	1
1	1226348	1226348	0.9412
1	1421157	1421157	0.9474
1	1469440	1469440	0
1	1551927	1551927	1
1	1585642	1585642	0.0109
1	1635730	1635730	0.9825
1	1650787	1650787	0.4048
1	1650797	1650797	0.4
1	1650801	1650801	0.3929
1	1650807	1650807	0.5882
1	1650832	1650832	0.4086
1	1650845	1650845	0.5714
1	1849923	1849923	0
1	1916890	1916890	0
1	2144788	2144788	1
1	2337277	2337277	0
1	2338015	2338015	1
1	2430617	2430617	1
1	2444414	2444414	0.9444
1	2447076	2447076	1
1	2490898	2490898	0
1	2490942	2490942	0.0238
1	2526746	2526746	0
1	2573199	2573199	1
1	2938924	2938924	0.9655
1	2983963	2983963	0.96
1	2984087	2984087	0
1	3319461	3319461	1
1	3544187	3544187	0.9592
1	3607532	3607532	0
1	3638674	3638674	1
1	3646192	3646192	1
1	3646214	3646214	1
1	3761479	3761479	0.9796
1	6111721	6111721	0
1	6142308	6142308	0
1	6158562	6158562	0.9875
1	6184092	6184092	0
1	6196869	6196869	0
1	6278414	6278414	1
1	6304454	6304454	1
1	7890117	7890117	1
1	8390384	8390384	1
1	8425900	8425900	1
1	9009406	9009406	0.9412
1	9009451	9009451	0.0345
1	9011537	9011537	1
1	9129620	9129620	0.0312
1	10342629	10342629	0
1	10356764	10356764	1
1	10511544	10511544	1
1	11008341	11008341	1
1	11024271	11024271	0.9762
1	11116755	11116755	0
1	11562913	11562913	0
1	11579470	11579470	1
1	11596455	11596455	0
1	11708856	11708856	0
1	11737551	11737551	0
1	11828319	11828319	0
1	11832289	11832289	1
1	11851003	11851003	1
1	11852300	11852300	1
1	11854755	11854755	0
1	12062205	12062205	0.0769
1	12082926	12082926	0
1	12198297	12198297	0
1	12393335	12393335	1
1	12628459	12628459	1
1	12638964	12638964	1
1	12726317	12726317	1
1	12856153	12856153	0.2609
1	12954490	12954490	0.9821
1	13001186	13001186	0.64
1	13475123	13475123	1
1	14507057	14507057	0
1	15438990	15438990	0
1	15441090	15441090	1
1	15616139	15616139	1
1	15653563	15653563	1
1	15668276	15668276	1
1	15723843	15723843	0
1	15812495	15812495	1
1	16383682	16383682	0.4643
1	16385184	16385184	0.5745
1	16464673	16464673	0
1	16535316	16535316	1
1	16736132	16736132	0.9333
1	16748432	16748432	0
1	16909220	16909220	0.2308
1	17026004	17026004	1
1	17083782	17083782	0
1	17083837	17083837	0
1	17086464	17086464	0
1	17248500	17248500	0.4706
1	17250836	17250836	0.5217
1	17312743	17312743	1
1	17575645	17575645	0
1	17593316	17593316	0
1	17657534	17657534	0
1	17657616	17657616	0.0182
1	17662639	17662639	0
1	17668509	17668509	0.9722
1	17739586	17739586	1
1	17949537	17949537	1
1	18149510	18149510	0.9444
1	18152582	18152582	1
1	18808465	18808465	1
1	18808526	18808526	1
1	19018405	19018405	0
1	19175846	19175846	1
